Nama Makanan / Minuman,Asin/Manis,Makanan/Minuman,Restoran,Harga,Lokasi (Gmaps),Alamat,Foto
Pia Cap Mangkok,Sweet,Food,"Pia Cap Mangkok, Semeru",26000,https://maps.app.goo.gl/JBTMAsEuXpyLbnAW9,"Jalan Semeru Nomor 25, Ruko Semeru, Klojen, Kauman, Kec. Klojen, Kota Malang, Jawa Timur 65111",https://images.tokopedia.net/img/cache/500-square/VqbcmM/2022/4/4/8cf51360-1946-4861-a192-2bbf7f8c6610.png
Tahwa (Wedang Tahu),Sweet,Food,"Tahwa Mas Agus, Klojen",10000,https://maps.app.goo.gl/A93iXBzDUKvmvjNGA,"Jl. Aries Munandar No.20, Kiduldalem, Kec. Klojen, Kota Malang, Jawa Timur 65119",https://asset.kompas.com/crops/sgS6iHzRJjt2l5GMjgtm8spQscM=/0x0:1000x667/750x500/data/photo/2020/08/22/5f412ff8eee87.jpg
Sego Tempong,Salty,Food,"Sego Tempong By Cak Uut, Klojen",41500,https://maps.app.goo.gl/MG8Asu9jvrN67x2R8,"Jl. Majapahit No.42, Kiduldalem, Kec. Klojen, Kota Malang, Jawa Timur 65119",https://cdn.rri.co.id/berita/1/images/1696727619769-s/uq4qxdl79novs8r.jpeg
Salad Buah MOI,Sweet,Food,Hola Jus #MOI Healthy Juice Buah Es Boost Potong 055 Mampang,17900,https://maps.app.goo.gl/UGqXGcTZaUHWBAjZ7,"Jl. Bunga Kumis Kucing No.47, Jatimulyo, Kec. Lowokwaru, Kota Malang, Jawa Timur 65141
",https://cdn.kmbmedia.id/uploads/2021/09/salad-moi-5.jpeg?resize=696%2C501&ssl=1
Strudel Apel Malang,Sweet,Food,"Strudel Asli Apel Malang, Klojen",46800,https://maps.app.goo.gl/4jfbvXMFNbSAP1Xy5,"Jl. K.H. Hasyim Ashari No.6B, Kauman, Kec. Klojen, Kota Malang, Jawa Timur 65119",https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/c35eadb4-0aa4-43d2-ba65-bdb8c8fb8cf4_menu-item-image_1711959761125.jpg
Mie Bakar Celaket,Salty,Food,"Mie Bakar Celaket, Jaksa Agung Suprapto",16000,https://maps.app.goo.gl/tiXEjHvsp4xaiTdV9,"Jl. Jaksa Agung Suprapto Gg. 1 No.22, Samaan, Kec. Klojen, Kota Malang, Jawa Timur 65111",https://assets.promediateknologi.id/crop/0x0:0x0/750x500/webp/photo/2022/12/12/69763968.jpg
Ketan Bubuk,Sweet,Food,"Stmj & Ketan Bubuk, Ksatrian Trusan , Blimbing",11000,https://maps.app.goo.gl/JkSLEsgyCFczX2DT7,"Jl. Terusan Kesatrian No.2, Kesatrian, Kec. Blimbing, Kota Malang, Jawa Timur 65121",https://asset.kompas.com/crops/wEmDQMgFse4PGMjBqUEjLsJqbjM=/100x67:900x600/750x500/data/photo/2022/06/17/62abc59c4b2ee.jpeg
Jenang Jowo Original,Sweet,Food,"De Jenangs (Es Jenang), Sukun",12500,https://maps.app.goo.gl/HVopDFEiJ9YySA6p7,"Jl. Kakak Tua Ut No.38, Sukun, Kec. Sukun, Kota Malang, Jawa Timur 65147",https://img.lazcdn.com/g/ff/kf/Sdbf17170fcc145acbc5540c29ded411d8.jpg_720x720q80.jpg
Jenang Londo,Sweet,Beverage,"De Jenangs (Es Jenang), Sukun",20000,https://maps.app.goo.gl/HVopDFEiJ9YySA6p7,"Jl. Kakak Tua Ut No.38, Sukun, Kec. Sukun, Kota Malang, Jawa Timur 65147",https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/a741f23b-b0bf-45ab-a409-cefdf151bd04_Go-Biz_20220516_115004.jpeg
Heci Ayam Khas Malang,Salty,Food,"Warung Steven by Heci Klenteng, Klojen, Kec.Klojen",18000,https://maps.app.goo.gl/L271wztZRdFEYEaa7,"Ruko Panglima Sudirman, Jl. Patimura No.60B Kav B, Klojen, Kec. Klojen, Kota Malang, Jawa Timur 65111","https://cdn.yummy.co.id/content-images/images/20230904/EVecmTaadgTvN5xM24rHneRsuC2dOFWx-31363933383132353034d41d8cd98f00b204e9800998ecf8427e.jpg?x-oss-process=image/resize,w_388,h_388,m_fixed,x-oss-process=image/format,webp"
