Nama Makanan / Minuman,Asin/Manis,Makanan/Minuman,Restoran,Harga,Lokasi (Gmaps),Alamat
toko oen,manis,Minuman,"Toko Oen, Malang",,https://maps.app.goo.gl/NrSxJtHzcW9utxQ57,"Jl. Jenderal Basuki Rahmat 2, Kiduldalem, Kec. Klojen, Kota Malang, Jawa Timur 65119"
es santan 68,manis,Minuman,"Es Santan 68, Lowokwaru","Rp7,000",https://maps.app.goo.gl/kEWSEbew33ACpHQb8,"Jl. Puncak Borobudur No. 1, Lowokwaru, Malang"
Pisang Bolen Bengawan Solo,manis,Makanan,"Pisang Bolen Bengawan Solo, Mawar IV No. 8, Malang","Rp60,000",https://maps.app.goo.gl/fmWWm7fQtZJi7d8N9,"Jl. Mawar IV No.8, Lowokwaru, Kota Malang"
Susu Telor Madu Jahe (STMJ),manis,Minuman,"STMJ Sukamadu, Kedungkandang","Rp19,000-Rp31,700",https://maps.app.goo.gl/y1JRp6g5WzaKpib9A,"Jl. Terusan Sulfat No. 128 E, Kedungkandang, Malang"
Es Pisang Ijo,manis,Makanan,"Es pisang Ijo & Sop Buah, Kecamatan Klojen Kel.Samaan","Rp10,000-Rp13,000",https://maps.app.goo.gl/jJj7r75aM2qGsdHa6,"Jl. Tapak Siring Gg. 1 No. 11 / 1528
"
Es Kocok Alpukat,manis,Minuman,"Alpukat Kocok & Jus Gendut, Blimbing","Rp16,000-Rp20,000",https://maps.app.goo.gl/qKTzqGp6zbSKXaZP8,"Jln Raya Titan Asri J7, Blimbing, Kota Malang"
Es Kacang Ijo,manis,Minuman,"Es Kacang Ijo Jumbo DTC, Jaksa Agung Suprapto II","Rp16,000-Rp40,000",https://maps.app.goo.gl/tpeKbBbCChiCN2eu6,"Jl. J.A. Suprapto II No.48 C, Rampal Celaket, Kec. Klojen, Kota Malang, Jawa Timur 65111"
Wedang Jahe Kapulaga,manis,Minuman,"Wedang Jahe Kopulaga, Klojen, Gading Kasri,","Rp17,500",https://maps.app.goo.gl/iyY18aYgauRtUC9L8,"Jl. Probolinggo No.3, Gading Kasri, Kec. Klojen, Kota Malang, Jawa Timur 65115"
Nasi Kuning,asin,Makanan,"Nasi Kuning Wilis, Museum Brawijaya","Rp15,000-Rp27,500",https://maps.app.goo.gl/k3LMsXvPC2jYXddM7,"Jl. Wilis, Gading Kasri, Kec. Klojen, Kota Malang, Jawa Timur 65115"
Spikoe Hana,manis,Makanan,"Pia Cap Mangkok, Semeru","Rp85,000",https://maps.app.goo.gl/JBTMAsEuXpyLbnAW9,"Jalan Semeru Nomor 25, Ruko Semeru, Klojen, Kauman, Kec. Klojen, Kota Malang, Jawa Timur 65111"
Pia Cap Mangkok,manis,Makanan,"Pia Cap Mangkok, Semeru","Rp26,000-Rp121,000",https://maps.app.goo.gl/JBTMAsEuXpyLbnAW9,"Jalan Semeru Nomor 25, Ruko Semeru, Klojen, Kauman, Kec. Klojen, Kota Malang, Jawa Timur 65111"
Tahwa (Wedang Tahu),manis,Makanan,"Tahwa Mas Agus, Klojen","Rp10,000-Rp14,000",https://maps.app.goo.gl/A93iXBzDUKvmvjNGA,"Jl. Aries Munandar No.20, Kiduldalem, Kec. Klojen, Kota Malang, Jawa Timur 65119"
Sego Tempong,asin,Makanan,"Sego Tempong By Cak Uut, Klojen","Rp41,500-Rp47,500",https://maps.app.goo.gl/MG8Asu9jvrN67x2R8,"Jl. Majapahit No.42, Kiduldalem, Kec. Klojen, Kota Malang, Jawa Timur 65119"
Salad Buah MOI,manis,Makanan,Hola Jus #MOI Healthy Juice Buah Es Boost Potong 055 Mampang,"Rp17,900-Rp49,900",https://maps.app.goo.gl/UGqXGcTZaUHWBAjZ7,"Jl. Bunga Kumis Kucing No.47, Jatimulyo, Kec. Lowokwaru, Kota Malang, Jawa Timur 65141
"
Strudel Apel Malang,manis,Makanan,"Strudel Asli Apel Malang, Klojen","Rp46,800",https://maps.app.goo.gl/4jfbvXMFNbSAP1Xy5,"Jl. K.H. Hasyim Ashari No.6B, Kauman, Kec. Klojen, Kota Malang, Jawa Timur 65119"
Mie Bakar Celaket,asin,Makanan,"Mie Bakar Celaket, Jaksa Agung Suprapto","Rp16,000-Rp40,000",https://maps.app.goo.gl/tiXEjHvsp4xaiTdV9,"Jl. Jaksa Agung Suprapto Gg. 1 No.22, Samaan, Kec. Klojen, Kota Malang, Jawa Timur 65111"
Ketan Bubuk,manis,Makanan,"Stmj & Ketan Bubuk, Ksatrian Trusan , Blimbing","Rp11,000",https://maps.app.goo.gl/JkSLEsgyCFczX2DT7,"Jl. Terusan Kesatrian No.2, Kesatrian, Kec. Blimbing, Kota Malang, Jawa Timur 65121"
Jenang Jowo Original,manis,Makanan,"De Jenangs (Es Jenang), Sukun","Rp12,500",https://maps.app.goo.gl/HVopDFEiJ9YySA6p7,"Jl. Kakak Tua Ut No.38, Sukun, Kec. Sukun, Kota Malang, Jawa Timur 65147"
Jenang Londo,manis,Minuman,"De Jenangs (Es Jenang), Sukun","Rp20,000",https://maps.app.goo.gl/HVopDFEiJ9YySA6p7,"Jl. Kakak Tua Ut No.38, Sukun, Kec. Sukun, Kota Malang, Jawa Timur 65147"
Kripik Tempe,asin,Makanan,"Kripik Tempe Cak Mul Oleh - Oleh Khas Malang, Bango Utara","Rp14,500",https://maps.app.goo.gl/23x8e6Fk1dRy87JY8,"Jl. Bango Utara no. 8, Bunulrejo, Kec. Blimbing, Kota Malang, Jawa Timur 65123"
Heci Ayam Khas Malang,Asin,Makanan,"Warung Steven by Heci Klenteng, Klojen, Kec.Klojen","Rp18,000",https://maps.app.goo.gl/L271wztZRdFEYEaa7,"Ruko Panglima Sudirman, Jl. Patimura No.60B Kav B, Klojen, Kec. Klojen, Kota Malang, Jawa Timur 65111"
Ubi Madu Asli Cilembu,manis,Makanan,"Restoran Ubi Madu Cilembu, Blimbing, Kota Malang","Rp34,000",https://maps.app.goo.gl/92NH8oUia4zJP8PB9,"Jl Sulfat 38, Purwantoro Blimbing Malang Jawa Timur"
Donat Kentang Celaket,manis,Makanan,"Donat Kentang Celaket, Jaksa Agung Suprapto","Rp30,500",https://maps.app.goo.gl/miyKTWBgGmj5aS4U8,"Jl. Jaksa Agung Suprapto, Gang 1 No. 34, Rampal Celaket, Malang"
Queen Apple,manis,Makanan,"Queen Apple, Kawi","Rp65,000",https://maps.app.goo.gl/5aUyYtWv9Z8LHNio8,"Jl. Kawi Atas No. 23, Gading Kasri, Klojen, Malang
"
Lapis Kukus,manis,Makanan,"Lapis Kukus Tugu Malang, Mawar","Rp42,500",https://maps.app.goo.gl/yPUPtywnpDE7hpke6,"Mawar Gg. I/A No.11, Lowokwaru, Kec. Lowokwaru, Kota Malang, Jawa Timur 65141"
Fluffy Bread,manis,Makanan,"Keikpop by The Food Chain, Malang R. Suprapto","Rp59,000",https://maps.app.goo.gl/pNHm9Bz1qBrqF84A6,"Jl. Jaksa Agung Suprapto No. 52, Klojen, Malang"
Sego Mawut,asin,Makanan,Sego Goreng Jowo Khas Kediri,"Rp17,000",https://maps.app.goo.gl/mSn4rVwVv9giwzT6A,"Jl. Sulfat, Purwantoro, Kec. Blimbing, Kota Malang, Jawa Timur"
Soto Ayam Madura,asin,Makanan,Warung Soto Madura,Rp20000,https://maps.app.goo.gl/hvBu8YvLtNpoPE2L6,Jl. Lembang No. 131 Samaan Klojen Malang
Nasi Bakmoy,asin,Makanan,Bubur Ayam dan Bakmoy Jempol,"Rp27,000",https://maps.app.goo.gl/fA9Ec7jc4uzfeZpW8,"Jl. Danau Bratan Raya Blok. H2 No. E58, Kedungkandang, Malang"
Nasi Jagung,asin,Makanan,Nasi Jagung Bu Yati,"Rp15,500-Rp25,500",https://maps.app.goo.gl/KuvB7zgYtJPuJcUi7,"Jl. J.Agung Suprapto IIB No.279, Samaan, Kec. Klojen, Kota Malang, Jawa Timur 65112, Indonesia"
Sate Kambing,asin,Makanan,Warung SATE Madura Utama,"Rp35,000",https://maps.app.goo.gl/oEhvtxMFBvdYT7PT9,"Jl. Tawangmangu (Pasar Tawangmangu Pintu Sebelah Selatan), Lowokwaru, Malang"
Es Podeng Jadoel,manis,Minuman,DAPUR RUMAISHA 'Es Podeng Jadoel',"Rp15,000",https://maps.app.goo.gl/UB2QU52cRNJaHxHA8,"Jl. Bantaran Indah No. 14 Tulusrejo, Lowokwaru, Malang"
